,unique.drugid,CGP.drugid,CCLE.drugid,GSK.drugid,NCI60.drugid,GRAY.drugid,GNE.drugid,CTRP.drugid,CMAP.drugid,CTRPv2.drugid,gCSI.drugid,UHNBreast.drugid,MERCK.drugid,GDSC1000.drugid,NCIALM.drugid,YALE_TNBC.drugid,smiles,inchikey,cid,GDSC2019.drugid,FIMM.drugid,FDA,PharmacoDB.uid,PharmacoDB.drugid
71,Mitomycin,Mitomycin C,NA,NA,Mitomycin-C,NA,NA,mitomycin,NA,mitomycin,NA,NA,Mitomycin,Mitomycin C,NA,Mitomycin C,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,5746,Mitomycin-C,NA,NA,PDBC00071,Mitomycin-C
72,Vinorelbine,Vinorelbine,NA,NA,Vinorelbine,Vinorelbine,NA,NA,NA,NA,NA,NA,Vinorelbine,Vinorelbine,NA,Vinorelbine,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC.C(C(C(=O)O)O)(C(=O)O)O,UUHYRRXICWUZHW-RPZOAHRESA-N,25136944,Vinorelbine,NA,TRUE,PDBC00072,Vinorelbine
73,NSC-87877,NSC-87877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSC-87877,NA,NA,C1=CC2=C(C(=O)C(=NNC3=CC4=C(C=C3)C=C(C=C4)S(=O)(=O)O)C=C2S(=O)(=O)O)N=C1,BIQBDHSYQMHHPU-CJLVFECKSA-N,5459322,NSC-87877,NA,NA,PDBC00073,NSC-87877
74,Bicalutamide,Bicalutamide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bicalutamide,NA,NA,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,LKJPYSCBVHEWIU-UHFFFAOYSA-N,2375,Bicalutamide,Bicalutamide,TRUE,PDBC00074,Bicalutamide
75,QS11,QS11,NA,NA,NA,NA,NA,QS-11,NA,QS-11,NA,NA,NA,QS11,NA,NA,C1CC2=C(C1)C=C(C=C2)OC3=NC4=C(C(=N3)NC(CC5=CC=CC=C5)CO)N=CN4CC6=CC=C(C=C6)C7=CC=CC=C7,DOKZLKDGUQWMSX-HKBQPEDESA-N,42623900,QS11,NA,NA,PDBC00075,QS11
76,Midostaurin,Midostaurin,NA,NA,Midostaurin,NA,NA,NA,NA,NA,NA,NA,NA,Midostaurin,NA,NA,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,BMGQWWVMWDBQGC-PZFYLCKJSA-N,24202429,Midostaurin,NA,TRUE,PDBC00076,Midostaurin
77,Chir-99021,CHIR-99021,NA,NA,NA,NA,NA,CHIR-99021,NA,CHIR-99021,CHIR-99021,NA,NA,CHIR-99021,NA,NA,CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N,AQGNHMOJWBZFQQ-UHFFFAOYSA-N,9956119,CHIR-99021,NA,NA,PDBC00077,CHIR-99021
78,Ponatinib,AP-24534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP-24534,NA,NA,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,PHXJVRSECIGDHY-UHFFFAOYSA-N,24826799,Ponatinib,Ponatinib,NA,PDBC00078,AP-24534
79,JNK-9L,JNK-9L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JNK-9L,NA,NA,N#Cc1cc(cc(c1)-c1ccnc(Nc2ccc(cc2)-n2cnc(n2)-c2cccnc2)n1)N1CCOCC1,NA,25222038,JNK-9L,NA,NA,PDBC00079,JNK-9L
80,PF-00562271 free base,PF-562271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PF-562271,NA,NA,CN(C1=C(C=CC=N1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,MZDKLVOWGIOKTN-UHFFFAOYSA-N,11713159,PF-562271,NA,NA,PDBC00080,PF-562271
81,Dimethyloxalylglycine,DMOG,NA,NA,NA,NA,NA,NA,dimethyloxalylglycine,NA,NA,NA,NA,DMOG,NA,NA,COC(=O)CNC(=O)C(=O)OC,BNJOZDZCRHCODO-UHFFFAOYSA-N,560326,DMOG,NA,NA,PDBC00081,DMOG
82,FTI-277,FTI-277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FTI-277,NA,NA,COC(=O)C(CCSC)NC(=O)C1=C(C=C(C=C1)NCC(CS)N)C2=CC=CC=C2,GKFPROVOIQKYTO-UZLBHIALSA-N,3005532,FTI-277,NA,NA,PDBC00082,FTI-277
83,PDK1 inhibitor AR-12,OSU-03012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OSU-03012,NA,NA,C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)C4=CC(=NN4C5=CC=C(C=C5)NC(=O)CN)C(F)(F)F,YULUCECVQOCQFQ-UHFFFAOYSA-N,10027278,OSU-03012,NA,NA,PDBC00083,OSU-03012
84,Cyclopamine,Cyclopamine,NA,NA,Cyclopamine,NA,NA,NA,NA,NA,NA,NA,NA,Cyclopamine,NA,NA,CC1CC2C(C(C3(O2)CCC4C5CC=C6CC(CCC6(C5CC4=C3C)C)O)C)NC1,QASFUMOKHFSJGL-LAFRSMQTSA-N,442972,Cyclopamine,Cyclopamine,NA,PDBC00084,Cyclopamine
85,Shikonin,Shikonin,NA,NA,Shikonin,NA,NA,NA,NA,NA,NA,NA,NA,Shikonin,NA,NA,NA,NA,479503,Shikonin,NA,NA,PDBC00085,shikonin
86,Akt inhibitor VIII,AKT inhibitor VIII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AKT inhibitor VIII,NA,NA,NA,NA,10196499,AKT inhibitor VIII,NA,NA,PDBC00086,AKT inhibitor VIII
87,Embelin,Embelin,NA,NA,Embelin,NA,NA,NA,NA,NA,NA,NA,NA,Embelin,NA,Embelin,CCCCCCCCCCCC1C(=O)C(=O)CC(=O)C1=O,NA,3218,Embelin,NA,TRUE,PDBC00087,embelin
88,FH535,FH535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FH535,NA,NA,CC1=C(C=CC(=C1)[N+](=O)[O-])NS(=O)(=O)C2=C(C=CC(=C2)Cl)Cl,AXNUEXXEQGQWPA-UHFFFAOYSA-N,3463933,FH535,NA,NA,PDBC00088,FH535
89,Pac-1,PAC-1,NA,NA,NA,NA,NA,PAC-1,NA,PAC-1,NA,NA,NA,PAC-1,NA,NA,Oc1c(CC=C)cccc1C=NNC(=O)CN2CCN(Cc3ccccc3)CC2,NA,6851947,PAC-1,NA,NA,PDBC00089,pac-1
90,Bis(2-hydroxy-1-naphthyl) disulfide,IPA-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IPA-3,NA,NA,C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O,RFAXLXKIAKIUDT-UHFFFAOYSA-N,521106,IPA-3,NA,NA,PDBC00090,IPA-3
91,GSK-650394,GSK-650394,NA,NA,NA,GSK650394///GSK-650394,NA,NA,NA,NA,NA,NA,NA,GSK-650394,NA,NA,C1CCC(C1)C2=C(C=CC(=C2)C3=CNC4=NC=C(C=C34)C5=CC=CC=C5)C(=O)O,WVSBGSNVCDAMCF-UHFFFAOYSA-N,25022668,GSK650394,NA,NA,PDBC00091,GSK-650394
92,BAY-61-3606 free base,BAY 61-3606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAY 61-3606,NA,NA,NA,NA,10200390,BAY-61-3606,NA,NA,PDBC00092,BAY 61-3606
93,Thapsigargin,Thapsigargin,NA,NA,NA,NA,NA,NA,thapsigargin,NA,thapsigargin,NA,NA,Thapsigargin,NA,NA,CCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)/C(=C\C)/C)C(=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@H](C[C@](C)(OC(=O)C)[C@@H]12)OC(=O)CCC)C,IXFPJGBNCFXKPI-FSIHEZPISA-N,446378,Thapsigargin,NA,NA,PDBC00093,thapsigargin
94,Obatoclax,Obatoclax Mesylate,NA,NA,NA,NA,NA,NA,NA,obatoclax,NA,NA,NA,Obatoclax Mesylate,NA,Obatoclax,NA,NA,16681698,Obatoclax Mesylate,NA,NA,PDBC00094,Obatoclax Mesylate
95,Bms-754807,BMS-754807,NA,NA,NA,NA,NA,BMS-754807,NA,BMS-754807,NA,NA,NA,BMS-754807,NA,BMS-754807,CC1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F,LQVXSNNAFNGRAH-QHCPKHFHSA-N,24785538,BMS-754807,BMS-754807,NA,PDBC00095,BMS-754807
96,Linsitinib,OSI-906,NA,NA,NA,NA,NA,linsitinib,NA,linsitinib,NA,NA,NA,Linsitinib,NA,OSI-906,CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O,PKCDDUHJAFVJJB-UHFFFAOYSA-N,11640390,Linsitinib,NA,NA,PDBC00096,Lisitinib
97,Bexarotene,Bexarotene,NA,NA,NA,NA,NA,NA,NA,bexarotene,NA,NA,NA,Bexarotene,NA,NA,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,NAVMQTYZDKMPEU-UHFFFAOYSA-N,82146,Bexarotene,Bexarotene,TRUE,PDBC00097,Bexarotene
98,Bleomycin a2,Bleomycin,NA,NA,Bleomycin,NA,NA,NA,NA,bleomycin A2,NA,NA,NA,Bleomycin///Bleomycin (50 uM),NA,NA,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O.OS(=O)(=O)[O-],WUIABRMSWOKTOF-NUAMMRKQSA-N,54608728,Bleomycin///Bleomycin (50 uM)///Bleomycin (10 uM),NA,TRUE,PDBC00098,Bleomycin
99,Lfm-a13,LFM-A13,NA,NA,NA,NA,NA,LFM-A13,NA,NA,NA,NA,NA,LFM-A13,NA,NA,CC(=C(C#N)C(=O)NC1=C(C=CC(=C1)Br)Br)O,UVSVTDVJQAJIFG-VURMDHGXSA-N,54676905,LFM-A13,NA,NA,PDBC00099,LFM-A13
100,Luminespib,AUY922,NA,NA,NA,NA,NA,NVP-AUY922,NA,NA,NA,NA,NA,AUY922,NA,NA,CCNC(=O)C1=C(C(=C2C=C(C(=CC2=O)O)C(C)C)ON1)C3=CC=C(C=C3)CN4CCOCC4,SWDZPNJZKUGIIH-QQTULTPQSA-N,10096043,Luminespib,NA,NA,PDBC00100,AUY922
101,Bryostatin 1,Bryostatin 1,NA,NA,Bryostatin 1,NA,NA,NA,NA,NA,NA,NA,NA,Bryostatin 1,NA,NA,CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(OC(=O)CC(CC3CC(C(C(O3)(CC4CC(=CC(=O)OC)CC(O4)C=CC(C1(O2)O)(C)C)O)(C)C)OC(=O)C)O)C(C)O,MJQUEDHRCUIRLF-KOWVOJLTSA-N,5477635,Bryostatin 1,Bryostatin 1,NA,PDBC00101,Bryostatin 1
102,Pazopanib,Pazopanib,NA,pazopanib,Pazopanib///5-({4-[(2,3-Dimethyl-2H-indazol-6-yl)(methyl)amino]-2-pyrimidinyl}amino)-2-methylbenzenesulfonamide,NA,NA,NA,NA,pazopanib,NA,NA,NA,Pazopanib,NA,NA,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N.Cl,MQHIQUBXFFAOMK-UHFFFAOYSA-N,11525740,Pazopanib,Pazopanib,TRUE,PDBC00102,pazopanib
103,Dacinostat,LAQ824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAQ824,NA,NA,C1=CC=C2C(=C1)C(=CN2)CCN(CCO)CC3=CC=C(C=C3)C=CC(=O)NO,BWDQBBCUWLSASG-MDZDMXLPSA-N,6445533,Dacinostat,NA,NA,PDBC00103,LAQ824
104,Epothilone B,Epothilone B,NA,NA,4,17-Dioxabicyclo[14.1.0]heptadecane-5,9-dione, 7,11-dihydroxy-8,8,10,12,16-pentamethyl-3-[(E)-1-methyl-2-(2-methyl-4-thiazolyl)ethenyl]-, (1S,3S,7S,10R,11S,12S,16R)-,NA,NA,NA,NA,NA,NA,NA,NA,Epothilone B,NA,NA,NA,NA,448013,Epothilone B,Patupilone,NA,PDBC00104,Epothilone B
105,GSK-1904529A,GSK-1904529A,NA,GSK1904529,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSK1904529A,NA,NA,CCC1=CC(=C(C=C1N2CCC(CC2)N3CCN(CC3)S(=O)(=O)C)OC)NC4=NC=CC(=N4)C5=C(N=C6N5C=CC=C6)C7=CC(=C(C=C7)OC)C(=O)NC8=C(C=CC=C8F)F,MOSKATHMXWSZTQ-UHFFFAOYSA-N,25124816,GSK1904529A,NA,NA,PDBC00105,GSK-1904529A
106,Tipifarnib,Tipifarnib,NA,NA,NA,NA,NA,tipifarnib-P2///tipifarnib-P1,NA,tipifarnib-P2///tipifarnib-P1,NA,NA,NA,Tipifarnib,NA,Tipifarnib,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,PLHJCIYEEKOWNM-HHHXNRCGSA-N,159324,Tipifarnib,Tipifarnib,NA,PDBC00106,tipifarnib
107,AS601245,AS601245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS601245,NA,NA,C1=CC=C2C(=C1)NC(=C(C#N)C3=NC(=NC=C3)NCCC4=CN=CC=C4)S2,AVLYNJZZQYEFEA-XDJHFCHBSA-N,11422035,AS601245,NA,NA,PDBC00107,AS601245
108,AZ-628,AZ628,NA,NA,NA,NA,NA,NA,NA,NA,AZ-628,NA,NA,AZ628,NA,NA,CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)C(C)(C)C#N)NC3=CC4=C(C=C3)N=CN(C4=O)C,ZGBGPEDJXCYQPH-UHFFFAOYSA-N,11676786,AZ628,NA,NA,PDBC00108,AZ628
109,Sirolimus,Rapamycin,NA,NA,Rapamycin,Rapamycin,NA,sirolimus,sirolimus,sirolimus,rapamycin,NA,NA,Rapamycin,Sirolimus (rapamycin),Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,QFJCIRLUMZQUOT-HPLJOQBZSA-N,5284616,Rapamycin,NA,NA,PDBC00109,Rapamycin
110,Sorafenib,Sorafenib,Sorafenib,NA,4-[4-({[4-Chloro-3-(trifluoromethyl)phenyl]carbamoyl}amino)phenoxy]-N-methyl-2-pyridinecarboxamide,Sorafenib,NA,NA,NA,sorafenib,NA,NA,Sorafenib,Sorafenib,NA,Sorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,MLDQJTXFUGDVEO-UHFFFAOYSA-N,216239,Sorafenib,Sorafenib,TRUE,PDBC00110,Sorafenib
111,Tozasertib,VX-680,NA,NA,NA,VX-680,NA,tozasertib,NA,VX-680,NA,NA,NA,VX-680,NA,Tosazertib,CC1=CC(=NN1)NC2=NC(=NC(=C2)N3CCN(CC3)C)SC4=CC=C(C=C4)NC(=O)C5CC5,GCIKSSRWRFVXBI-UHFFFAOYSA-N,5494449,Tozasertib,NA,NA,PDBC00111,VX-680
112,Imatinib,Imatinib,NA,NA,Imatinib,Imatinib,NA,NA,imatinib,imatinib,NA,NA,NA,Imatinib,NA,Imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,KTUFNOKKBVMGRW-UHFFFAOYSA-N,5291,Imatinib,Imatinib,TRUE,PDBC00112,Imatinib
113,Nvp-tae 684,NVP-TAE684,TAE684,NA,NA,NA,NA,NA,NA,NVP-TAE684,NA,NA,NA,TAE684,NA,NVP-TAE684,CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC,QQWUGDVOUVUTOY-UHFFFAOYSA-N,16038120,NVP-TAE684,NA,NA,PDBC00113,TAE684
114,Crizotinib,PF-02341066,PF-2341066,NA,Crizotinib,PF-2341066///Crizotinib,PF-2341066,NA,NA,crizotinib,crizotinib///Crizotinib,NA,NA,Crizotinib,NA,Crizotinib,CC(C1=C(C=C(C=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,SCJHEFQWKWHQTO-GFCCVEGCSA-N,54613769,Crizotinib,Crizotinib,TRUE,PDBC00114,Crizotinib
115,Saracatinib,AZD-0530,AZD0530,NA,NA,NA,NA,NA,NA,saracatinib,NA,NA,NA,Saracatinib,NA,NA,CN1CCN(CC1)CCOC2=CC(=C3C(=C2)N=CN=C3NC4=C(C=CC5=C4OCO5)Cl)OC6CCOCC6,OUKYUETWWIPKQR-UHFFFAOYSA-N,10302451,Saracatinib,Saracatinib,NA,PDBC00115,AZD0530
116,S-Trityl-L-cysteine,S-Trityl-L-cysteine,NA,NA,S-Trityl-L-cysteine,NA,NA,NA,NA,NA,NA,NA,NA,S-Trityl-L-cysteine,NA,NA,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)SCC(C(=O)[O-])[NH3+],DLMYFMLKORXJPO-FQEVSTJZSA-N,7058066,S-Trityl-L-cysteine,S-trityl-L-cysteine,NA,PDBC00116,S-Trityl-L-cysteine
117,Z-LLNle-CHO,Z-LLNle-CHO,NA,NA,Z-LLNle-CHO,NA,NA,NA,NA,NA,NA,NA,NA,Z-LLNle-CHO,NA,NA,CCCCC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1,RNPDUXVFGTULLP-ATTQYFOMSA-N,16760646,Z-LLNle-CHO,NA,NA,PDBC00117,Z-LLNle-CHO
118,Sunitinib,Sunitinib,NA,NA,Sunitinib,Sunitinib Malate,NA,NA,NA,sunitinib,NA,NA,Sunitinib,Sunitinib,NA,Sunitinib,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,WINHZLLDWRZWRT-ATVHPVEESA-N,5329102,Sunitinib,Sunitinib,TRUE,PDBC00118,Sunitinib
119,Dasatinib,Dasatinib,NA,NA,Dasatinib,NA,NA,NA,NA,dasatinib,Dasatinib,NA,Dasatinib,Dasatinib,NA,Dasatinib,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,3062316,Dasatinib,Dasatinib,TRUE,PDBC00119,Dasatinib
120,GNF-2,GNF-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GNF-2,NA,NA,C1=CC(=CC(=C1)C(=O)N)C2=CC(=NC=N2)NC3=CC=C(C=C3)OC(F)(F)F,WEVYNIUIFUYDGI-UHFFFAOYSA-N,5311510,GNF-2,NA,NA,PDBC00120,GNF-2
121,CGP-60474,CGP-60474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CGP-60474,NA,NA,C1=CC(=CC(=C1)Cl)NC2=NC=CC(=N2)C3=CC(=NC=C3)NCCCO,IYNDTACKOAXKBJ-UHFFFAOYSA-N,644215,CGP-60474,NA,NA,PDBC00121,CGP-60474
122,CGP-082996,CGP-082996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CGP-082996,NA,NA,CCNC1=NC(=NC(=C1)NC2CCC(CC2)O)NC3=CC4=C(C=C3)N(C=C4)CC5=CC=CC=C5,YVXCDLCJCIDFHE-UHFFFAOYSA-N,24825971,CGP-082996,NA,NA,PDBC00122,CGP-082996
123,A-770041,A-770041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A-770041,NA,NA,CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=C(C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)C(=NC=N4)N,ZMNWFTYYYCSSTF-UHFFFAOYSA-N,9549184,A-770041,NA,NA,PDBC00123,A-770041
124,WH-4-023,WH-4-023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WH-4-023,NA,NA,CC1=C(C(=CC=C1)C)OC(=O)N(C2=C(C=C(C=C2)OC)OC)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5CCN(CC5)C,NBTNHSGBRGTFJS-UHFFFAOYSA-N,11844351,WH-4-023,NA,NA,PDBC00124,WH-4-023
125,WZ-1-84,WZ-1-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WZ-1-84,NA,NA,NA,NA,NA,WZ-1-84,NA,NA,PDBC00125,WZ-1-84
126,Pha-665752,PHA-665752,PHA-665752,NA,NA,NA,NA,NA,PHA-00665752,NA,NA,NA,NA,PHA-665752,NA,PHA 665752,CC1=C(NC(=C1C(=O)N2CCCC2CN3CCCC3)C)C=C4C5=C(C=CC(=C5)S(=O)(=O)CC6=C(C=CC=C6Cl)Cl)NC4=O,OYONTEXKYJZFHA-SSHUPFPWSA-N,10461815,PHA-665752,NA,NA,PDBC00126,PHA-665752
127,BI-2536,BI-2536,NA,NA,NA,NA,NA,BI-2536,NA,BI-2536,NA,NA,NA,BI-2536,NA,BI-2536,CCC1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,XQVVPGYIWAGRNI-JOCHJYFZSA-N,11364421,BI-2536,BI 2536,NA,PDBC00127,BI-2536
128,Unii-40E3azg1MX,BMS-536924,NA,NA,NA,NA,NA,BMS-536924,NA,BMS-536924,NA,NA,NA,BMS-536924,NA,NA,CC1=CC(=CC2=C1NC(=C3C(=CC=NC3=O)NCC(C4=CC(=CC=C4)Cl)O)N2)N5CCOCC5,UGQMURPIMYALPH-PZJQAWQVSA-N,10390396,BMS-536924,NA,NA,PDBC00128,BMS-536924
129,Bms-509744,BMS-509744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BMS-509744,NA,NA,CC1=C(C=C(C(=C1)OC)C(=O)N2CCN(CC2)C(=O)C)SC3=CN=C(S3)NC(=O)C4=CC=C(C=C4)CNC(C)C(C)(C)C,ZHXNIYGJAOPMSO-UHFFFAOYSA-N,11467730,BMS-509744,NA,NA,PDBC00129,BMS-509744
130,CMK,CMK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CMK,NA,NA,CC1=C(C=CC(=C1)O)Cl,CFKMVGJGLGKFKI-UHFFFAOYSA-N,1732,CMK,NA,NA,PDBC00130,CMK
131,Pyrimethamine,Pyrimethamine,NA,NA,Pyrimethamine,NA,NA,NA,pyrimethamine,NA,NA,NA,NA,Pyrimethamine,NA,NA,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,WKSAUQYGYAYLPV-UHFFFAOYSA-N,4993,Pyrimethamine,NA,TRUE,PDBC00131,Pyrimethamine
132,JW-7-52-1,JW-7-52-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JW-7-52-1,NA,NA,[W].[W].[W].[W].[W].[W].[W].[W].[W].[W].[W].[W],NTGFFEISRDRAST-UHFFFAOYSA-N,20822503,JW-7-52-1,NA,NA,PDBC00132,JW-7-52-1
133,A-443654,A-443654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A-443654,NA,NA,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CNC5=CC=CC=C54)N,YWTBGJGMTBHQTM-IBGZPJMESA-N,10172943,A-443654,NA,NA,PDBC00133,A-443654
134,GW843682X,GW843682X,NA,NA,NA,GW843682X,NA,GW-843682X,NA,GW-843682X,NA,NA,NA,GW843682X,NA,NA,COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F)OC,JSKUWFIZUALZLX-UHFFFAOYSA-N,9826308,GW843682X,NA,NA,PDBC00134,GW843682X
135,Entinostat,MS-275,NA,NA,MS-275,NA,NA,NA,MS-275,entinostat,ms275,NA,NA,MS-275,NA,MS-275,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,INVTYAOGFAGBOE-UHFFFAOYSA-N,4261,Entinostat,Entinostat,NA,PDBC00135,MS-275
136,(-)-Parthenolide,Parthenolide,NA,NA,Parthenolide,NA,NA,parthenolide,parthenolide,parthenolide,NA,NA,NA,Parthenolide,NA,NA,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C,KTEXNACQROZXEV-ZRPLFPEYSA-N,5420804,Parthenolide,NA,NA,PDBC00136,Parthenolide
137,Z-Leu-leu-leu-al,MG-132,NA,NA,NA,MG-132///Z-Leu-Leu-Leu-al,NA,NA,MG-132,MG-132,NA,NA,NA,MG-132,NA,NA,CC(C)CC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1,TZYWCYJVHRLUCT-VABKMULXSA-N,462382,MG-132,NA,NA,PDBC00137,MG-132
138,KIN001-135,KIN001-135,NA,NA,NA,NA,NA,NA,NA,CAY10576,NA,NA,NA,KIN001-135,NA,NA,N#[In],NWAIGJYBQQYSPW-UHFFFAOYSA-N,117560,GSK319347A,NA,NA,PDBC00138,CAY10576
139,TGX221,TGX221,NA,TGX.221,NA,NA,NA,NA,NA,TGX-221,TGX-221,NA,NA,TGX221,NA,NA,CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3)N4CCOCC4,CPRAGQJXBLMUEL-UHFFFAOYSA-N,9907093,TGX221,NA,NA,PDBC00139,TGX221
140,Nvp-aew541,NA,AEW541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C1CN(C1)CC2CC(C2)N3C=C(C4=C3N=CN=C4N)C5=CC(=CC=C5)OCC6=CC=CC=C6,AECDBHGVIIRMOI-UHFFFAOYSA-N,11476171,NA,NA,NA,PDBC00140,AEW541
141,Irinotecan,NA,Irinotecan,NA,Irinotecan,CPT-11///CPT-11(FD),NA,NA,irinotecan,NA,irinotecan,NA,NA,NA,NA,NA,CCC1=C2C=C(C=CC2=NC3=C1CN4C3=CC5=C(C4=O)COC(=O)C5(CC)O)OC(=O)N6CCC(CC6)N7CCCCC7,UWKQSNNFCGGAFS-XIFFEERXSA-N,60838,Irinotecan,Irinotecan,TRUE,PDBC00141,Irinotecan
